1,0,0.000000
1,1,0.000023
1,2,0.000021
1,3,0.000025
1,4,0.000030
1,5,0.000028
1,6,0.000045
1,7,0.000041
1,8,0.000061
1,9,0.000073
1,10,0.000076
1,20,0.000282
1,30,0.000727
1,40,0.001347
1,50,0.002174
1,60,0.003335
1,70,0.004710
1,80,0.006377
1,90,0.008178
1,100,0.010694
1,200,0.054581
1,300,0.118506
1,400,0.264442
1,500,0.520429
1,600,0.877359
1,700,1.363912
1,800,2.018188
1,900,2.832311
1,1000,3.842882
1,1100,5.060616
1,1200,6.509527
1,1300,8.229489
1,1400,10.226015
1,1500,12.520392
1,1600,15.158687
1,1700,18.091521
1,1800,21.428084
1,1900,25.181242
2,0,0.000000
2,1,0.000172
2,2,0.000114
2,3,0.000146
2,4,0.000102
2,5,0.000210
2,6,0.000188
2,7,0.000214
2,8,0.000293
2,9,0.000379
2,10,0.000377
2,20,0.001178
2,30,0.002529
2,40,0.004363
2,50,0.007475
2,60,0.010732
2,70,0.014120
2,80,0.017372
2,90,0.020191
2,100,0.025537
2,200,0.105713
2,300,0.260780
2,400,0.517208
2,500,0.917708
2,600,1.449050
2,700,2.249273
2,800,3.053679
2,900,4.365796
2,1000,5.997715
2,1100,7.598462
2,1200,9.551949
2,1300,11.970600
2,1400,15.192823
2,1500,17.839016
2,1600,21.171165
2,1700,25.175520
2,1800,29.602454
2,1900,34.694205
4,0,0.000000
4,1,0.000130
4,2,0.000131
4,3,0.000116
4,4,0.000164
4,5,0.000211
4,6,0.000175
4,7,0.000263
4,8,0.000293
4,9,0.000372
4,10,0.000357
4,20,0.001327
4,30,0.002668
4,40,0.004821
4,50,0.007066
4,60,0.011248
4,70,0.014890
4,80,0.018825
4,90,0.024052
4,100,0.028954
4,200,0.133707
4,300,0.340607
4,400,0.669329
4,500,1.110741
4,600,1.701754
4,700,2.557988
4,800,3.491549
4,900,4.847641
4,1000,6.337766
4,1100,8.087047
4,1200,10.006643
4,1300,12.434407
4,1400,15.221992
4,1500,18.443791
4,1600,22.129043
4,1700,25.700296
4,1800,30.666072
4,1900,35.195241
8,0,0.000000
8,1,0.000165
8,2,0.000131
8,3,0.000243
8,4,0.000248
8,5,0.000355
8,6,0.000302
8,7,0.000334
8,8,0.000421
8,9,0.000486
8,10,0.000603
8,20,0.001917
8,30,0.004181
8,40,0.006874
8,50,0.010211
8,60,0.015598
8,70,0.020542
8,80,0.027009
8,90,0.033153
8,100,0.042977
8,200,0.189994
8,300,0.444760
8,400,0.853152
8,500,1.393178
8,600,2.154755
8,700,3.165978
8,800,4.229672
8,900,5.785478
8,1000,7.471547
8,1100,9.380217
8,1200,11.710672
8,1300,14.698841
8,1400,17.689682
8,1500,20.831345
8,1600,25.047057
8,1700,29.331927
8,1800,34.299975
8,1900,39.610358
