
100,1,7.685
100,2,8.16
100,4,10.798
100,8,21.67
200,1,17.537
200,2,16.603
200,4,15.849
200,8,29.433
300,1,34.771
300,2,27.033
300,4,23.414
300,8,213.305
400,1,83.066
400,2,76.116
400,4,45.241
400,8,63.497
500,1,142.356
500,2,151.886
500,4,63.028
500,8,86.284
600,1,238.543
600,2,175.557
600,4,91.295
600,8,112.263
700,1,371.974
700,2,263.824
700,4,130.687
700,8,143.455
800,1,541.321
800,2,365.23
800,4,179.791
800,8,179.432
900,1,736.229
900,2,487.285
900,4,245.481
900,8,224.722
1000,1,1000.07
1000,2,615.498
1000,4,318.948
1000,8,275.019
1100,1,1325.9
1100,2,760.413
1100,4,418.872
1100,8,336.978
1200,1,1728.05
1200,2,966.529
1200,4,516.481
1200,8,1054.67
1300,1,2184.63
1300,2,1202.46
1300,4,646.634
1300,8,479.971
1400,1,2622.44
1400,2,1495.51
1400,4,787.716
1400,8,569.995
1500,1,3232.62
1500,2,1787.58
1500,4,962.015
1500,8,665.991
1600,1,3941.7
1600,2,2171.9
1600,4,1151.09
1600,8,786.841
1700,1,4796.16
1700,2,2579.27
1700,4,1362.93
1700,8,919.203
1800,1,5562.36
1800,2,3066.51
1800,4,1623.48
1800,8,1066.73
1900,1,6573.13
1900,2,3546.75
1900,4,1922.32
1900,8,1224.81
